Duration,Date,Pulse,Maxpulse,Calories,Intensity,Pulse_Difference
60,2020-12-01,110,130,409.1,High,20
60,2020-12-02,117,145,479.0,High,28
60,2020-12-03,103,135,340.0,High,32
45,2020-12-04,109,175,282.4,High,66
45,2020-12-05,117,148,406.0,High,31
60,2020-12-06,102,127,300.0,High,25
60,2020-12-07,110,136,374.0,High,26
120,2020-12-08,104,134,253.3,High,30
30,2020-12-09,109,133,195.1,High,24
60,2020-12-10,98,124,269.0,Normal,26
60,2020-12-11,103,147,329.3,High,44
60,2020-12-12,100,120,250.7,Normal,20
60,2020-12-13,106,128,345.3,High,22
60,2020-12-14,104,132,379.3,High,28
60,2020-12-15,98,123,275.0,Normal,25
60,2020-12-16,98,120,215.2,Normal,22
60,2020-12-17,100,120,300.0,Normal,20
45,2020-12-18,90,112,304.68,Normal,22
60,2020-12-19,103,123,323.0,High,20
45,2020-12-20,97,125,243.0,Normal,28
60,2020-12-21,108,131,364.2,High,23
45,2020-12-21,100,119,282.0,Normal,19
60,2020-12-23,130,101,300.0,High,-29
45,2020-12-24,105,132,246.0,High,27
60,2020-12-25,102,126,334.5,High,24
60,2020-12-26,100,120,250.0,Normal,20
60,2020-12-27,92,118,241.0,Normal,26
60,2020-12-28,103,132,304.68,High,29
60,2020-12-29,100,132,280.0,Normal,32
60,2020-12-30,102,129,380.3,High,27
60,2020-12-31,92,115,243.0,Normal,23
